dong_code,dong_name,priority_rank,cluster,cluster_name,complaint_count,trash_location_count,total_bin_count,area_size,yearly_avg_floating_population,waste_amount,total_store_count,commercial_store_count,food_store_count,cafe_store_count,pub_store_count,convenience_store_count,avg_bus_distance,avg_park_distance,avg_metro_distance,complaint_per_10000_float,log_complaint_density,bin_per_10000_float,floating_population_per_bin,floating_population_density,log_floating_population_density,log_floating_population_per_bin,waste_per_bin,log_waste_per_bin,commercial_store_density,log_commercial_store_density,weighted_access_distance,accessibility_score,complaint_density_rank,floating_population_rank,waste_amount_rank,commercial_store_rank,bin_shortage_rank,access_gap_rank,priority_score
11500593,화곡8동,1,0,고우선순위 특성형,12,2,2,593322,9922520,739440,940,276,159,33,31,26,8.44,1275.7849999999999,129.495,0.012093702003120174,2.0861355772709493,0.0020156170005200293,4961260.0,16.72366775545151,1.2485536002330522,6.695592074824568,369720.0,5.567874119020777,465.1774247373265,2.668551238405072,557.74725,7.0,7,1,3,4,1,7,16.36832726835495
11500540,화곡1동,2,0,고우선순위 특성형,12,22,27,1197746,16361273,5894880,2128,640,382,78,117,45,45.984545454545454,1350.935909090909,406.30636363636364,0.007334392623361275,1.8712454932214522,0.016502383402562867,605973.074074074,13.660052298233515,1.1661355196089096,5.782454043757991,218328.88888888888,5.339113193752967,534.3369963247633,2.728627257851,694.0777272727272,13.0,12,2,5,1,6,5,13.87871763975667
11500590,화곡본동,3,0,고우선순위 특성형,9,3,4,972735,8066068,2763780,1055,300,175,31,41,37,75.82333333333334,802.8100000000001,473.00666666666666,0.011157852872056125,2.0514555686027687,0.004959045720913833,2016517.0,8.292153567004375,0.9681163785659395,6.304602102994163,690945.0,5.839444106971267,308.40876497710065,2.490532612295707,505.63216666666665,13.1,8,3,1,9,2,12,13.850136935342576
11500570,화곡4동,4,0,고우선순위 특성형,2,4,6,852049,4121004,1370680,1059,327,192,39,29,26,27.505,1417.9525,1372.7,0.004853186262376839,1.6948846597412812,0.014559558787130516,686834.0,4.836580994754996,0.7661585166444986,5.836852417996695,228446.66666666666,5.358786726589726,383.7807450041019,2.585213331173218,1054.50225,15.2,14,11,4,6,5,1,13.394216608026648
11500560,화곡3동,5,0,고우선순위 특성형,2,3,5,521858,3651998,1061680,940,251,158,41,31,13,51.17666666666667,1152.52,180.36333333333332,0.005476454258737272,1.7463581442196918,0.01369113564684318,730399.6,6.9980684400737365,0.9029851161039786,5.86356112128498,212336.0,5.327025677141675,480.9737514802878,2.683023386998856,536.9293333333334,8.55,13,6,6,3,4,11,12.204500905166721
11500591,화곡6동,6,0,고우선순위 특성형,51,20,36,1037911,5425530,1676460,1198,449,268,44,88,36,56.4655,586.574,881.608,0.0940000331764823,2.9735897765447983,0.06635296459516397,150709.16666666666,5.227355717397734,0.794303674086682,5.178142550113596,46568.333333333336,4.668100020803099,432.59971230673926,2.637088985376186,557.3087749999999,11.649999999999999,1,9,13,5,18,8,11.830859964261624
11500615,우장산동,7,0,고우선순위 특성형,6,8,13,1261588,6954644,1532670,1247,259,145,50,13,37,23.67625,781.6125,303.17,0.008627328731707906,1.9408813348160343,0.01869254558536713,534972.6153846154,5.512611090149875,0.8137551444346597,5.728332363375561,117897.69230769231,5.071508988074709,205.29681639330747,2.3144925259203766,424.6735625,5.7,11,8,7,13,7,15,10.679526405109865
11500550,화곡2동,8,0,고우선순위 특성형,0,3,3,454621,3627488,1862250,568,110,46,12,10,32,10.306666666666667,1264.8933333333334,690.04,0.0,0.0,0.008270185869670692,1209162.6666666667,7.979147465691202,0.9532351040924364,6.082485088883512,620750.0,5.792917427854684,241.9597862835197,2.3855343968887692,750.0480000000001,12.8,18,4,2,11,3,4,10.52103602446847
11500611,발산1동,9,2,관리 검토 특성형,6,22,30,2887669,5419364,2684300,3733,631,346,129,17,47,79.66818181818182,1541.6627272727274,609.5054545454545,0.011071409855473816,2.048107985453535,0.05535704927736908,180645.46666666667,1.8767261760264076,0.4588985251157922,5.256829471455238,89476.66666666667,4.951714650357496,218.51534923150817,2.341464892931137,849.9090454545455,17.7,9,16,8,12,17,3,9.968246093216749
11500630,방화1동,10,0,고우선순위 특성형,1,14,19,1475606,7151922,1315630,1872,466,274,79,25,45,71.25571428571429,1124.8714285714286,358.39285714285717,0.0013982255399317832,1.1755771961236583,0.026566285258703883,376416.94736842107,4.846769395082427,0.7669159649817658,5.575670322133673,69243.68421052632,4.840386439012337,315.802456753361,2.5007885408161017,593.2000000000002,12.7,17,10,9,8,8,6,9.707483119950128
